Neighborhood,group_sic_code_name_ext,group_sic_code,count
Austin,Auto Rental,751401.0,1
Austin,Banks,602101.0,2
Austin,Barbers,724101.0,8
Austin,Beauty Salons-Equipment &  Supplies (Wholesale),508702.0,22
Austin,Business Services NEC,738999.0,2
Austin,Car Service,411904.0,4
Austin,Car Washes,754201.0,1
Austin,Cell Phones,599902.0,9
Austin,Church Organizations,866104.0,57
Austin,City Government Executive Offices,911104.0,1
Austin,Clothing Retail,565101.0,1
Austin,Clubs,864108.0,2
Austin,Cocktail Lounges,581303.0,1
Austin,Coffee Shops,581228.0,1
Austin,Computer Parts & Supplies,573402.0,2
Austin,Condominiums,651301.0,1
Austin,Construction Building Contractors,152130.0,12
Austin,Construction Materials NEC (Wholesale),503999.0,6
Austin,Convenience Stores,541103.0,5
Austin,Copiers,504403.0,1
Austin,Cultural Centres,841206.0,1
Austin,Day Care,835101.0,17
Austin,Delivery Service,421205.0,1
Austin,Department Stores,531102.0,1
Austin,Electronic Equipment & Supplies Retail,573117.0,3
Austin,Federal Government General Offices,919901.0,1
Austin,Fire & Rescue,922404.0,2
Austin,Food Markets,541101.0,4
Austin,Funeral Homes,726103.0,3
Austin,Furniture Stores,571216.0,2
Austin,Gas Stations,554101.0,2
Austin,Gift Shops,594712.0,1
Austin,Government Pension Health/Welfare Funds,637104.0,8
Austin,Grills Barbecue,572233.0,2
Austin,Grocery Stores,541105.0,20
Austin,Hardware Stores,525104.0,1
Austin,Health Clubs & Gyms,799101.0,2
Austin,Home Centers,521138.0,1
Austin,Homes Personal Care Facility,805911.0,3
Austin,Hospitals,806202.0,3
Austin,House Cleaning,734922.0,2
Austin,Ice Cream Parlors,581203.0,1
Austin,Investments,621111.0,4
Austin,Jewelers,594409.0,1
Austin,Laundry & Garment Services NEC,721999.0,4
Austin,Legal Services,811198.0,2
Austin,Libraries,823106.0,2
Austin,Manicurists,723102.0,6
Austin,Manufacturers,399903.0,2
Austin,Medical Supplies,504704.0,1
Austin,Moving Services,421401.0,1
Austin,Nursing & Personal Care NEC,805999.0,10
Austin,Parks,799951.0,6
Austin,Pet Services,75210.0,1
Austin,Pharmacies,591205.0,2
Austin,Port Services,962105.0,1
Austin,Preschools,835102.0,1
Austin,Real Estate Agents,653118.0,16
Austin,Recycling Centers (Wholesale),509312.0,2
Austin,Retail Shops,531104.0,1
Austin,Rubber & Plastic Footwear Retail,566112.0,3
Austin,Schools (K-12),821103.0,17
Austin,Sportswear,569913.0,4
Austin,State Government General Offices,919902.0,1
Austin,Stock Exchanges,623102.0,3
Austin,Tax Return Preparation & Filing,729101.0,11
Austin,Taxis,412101.0,1
